"Date","Price","Open","High","Low","Vol.","Change %"
"07/22/2022","387.07","384.08","389.66","384.08","","0.78%"
"07/21/2022","384.08","384.30","389.23","382.80","","0.02%"
"07/20/2022","384.02","385.33","388.12","382.24","","-0.36%"
"07/19/2022","385.39","381.58","385.61","379.89","","0.96%"
"07/18/2022","381.73","369.72","381.93","369.72","","3.24%"
"07/15/2022","369.75","361.58","372.39","361.58","","2.26%"
"07/14/2022","361.57","361.80","368.07","359.79","","-0.57%"
"07/13/2022","363.63","363.15","368.06","360.85","","0.14%"
"07/12/2022","363.12","361.55","367.77","361.41","","0.51%"
"07/11/2022","361.26","359.60","365.95","357.10","","0.46%"
"07/08/2022","359.60","360.88","363.68","358.01","","-0.43%"
"07/07/2022","361.15","347.45","362.59","347.45","","3.94%"
"07/06/2022","347.45","356.62","356.66","347.18","","-2.60%"
"07/05/2022","356.71","360.98","363.64","353.96","","-1.20%"
"07/04/2022","361.03","356.02","362.92","356.02","","1.41%"
"07/01/2022","356.02","369.82","369.82","355.99","","-3.74%"
"06/30/2022","369.85","377.78","377.78","369.40","","-2.08%"
"06/29/2022","377.71","377.26","382.67","374.18","","0.07%"
"06/28/2022","377.46","379.03","383.54","377.28","","-0.41%"
"06/27/2022","379.03","367.99","379.30","367.99","","3.00%"
"06/24/2022","367.99","371.02","371.34","365.25","","-1.09%"
"06/23/2022","372.06","371.64","376.83","363.18","","0.25%"
"06/22/2022","371.12","383.18","383.18","368.99","","-3.09%"
"06/21/2022","382.94","372.82","383.10","372.82","","2.75%"
"06/20/2022","372.70","373.15","373.78","367.52","","-0.11%"
"06/17/2022","373.12","367.01","376.66","365.76","","1.66%"
"06/16/2022","367.01","376.22","377.00","366.40","","-2.40%"
"06/15/2022","376.04","376.11","376.82","369.10","","-0.02%"
"06/14/2022","376.13","372.97","380.16","366.31","","0.80%"
"06/13/2022","373.13","382.06","382.06","373.13","","-2.34%"
"06/10/2022","382.08","388.37","388.37","378.74","","-1.63%"
"06/09/2022","388.42","395.59","395.59","385.51","","-1.78%"
"06/08/2022","395.47","412.94","412.94","393.74","","-4.13%"
"06/07/2022","412.52","406.84","416.03","405.79","","1.62%"
"06/03/2022","405.95","402.74","406.64","402.54","","0.80%"
"06/02/2022","402.74","393.83","403.74","393.83","","2.32%"
"06/01/2022","393.59","395.44","396.67","389.57","","-0.45%"
"05/31/2022","395.38","392.57","397.83","390.93","","1.11%"
"05/30/2022","391.03","402.10","410.13","390.68","","-2.75%"
"05/27/2022","402.09","396.58","407.16","396.58","","1.50%"
"05/25/2022","396.14","388.32","400.69","388.32","","2.07%"
"05/24/2022","388.09","388.25","392.60","386.59","","0.41%"
"05/23/2022","386.52","390.45","393.60","384.04","","-0.96%"
"05/20/2022","390.28","380.32","392.19","380.32","","2.70%"
"05/19/2022","380.01","384.16","384.16","376.32","","-1.07%"
"05/18/2022","384.12","373.69","384.41","373.69","","2.79%"
"05/16/2022","373.69","363.30","373.69","362.77","","3.04%"
"05/13/2022","362.65","350.57","362.65","350.57","","3.46%"
"05/12/2022","350.53","355.29","355.29","346.05","","-1.34%"
"05/11/2022","355.29","349.42","355.29","348.29","","1.69%"
"05/10/2022","349.37","344.00","349.89","334.91","","1.55%"
"05/09/2022","344.03","360.09","360.09","343.99","","-4.46%"
"05/06/2022","360.09","359.51","362.23","354.89","","0.06%"
"05/05/2022","359.86","363.62","364.73","359.84","","-1.01%"
"05/04/2022","363.52","355.47","365.70","355.47","","2.27%"
"05/03/2022","355.46","351.15","355.63","349.26","","1.22%"
"05/02/2022","351.17","356.91","356.91","345.92","","-1.54%"
"04/29/2022","356.67","355.23","358.24","352.33","","0.57%"
"04/28/2022","354.64","351.49","358.79","351.49","","0.89%"
"04/27/2022","351.51","340.56","352.80","340.56","","3.45%"
"04/26/2022","339.79","336.39","340.85","334.55","","1.18%"
"04/25/2022","335.83","352.65","352.65","334.85","","-4.77%"
"04/22/2022","352.65","358.37","358.37","350.73","","-1.57%"
"04/21/2022","358.28","351.54","358.58","351.22","","1.92%"
